What standard covers rigging guidelines referenced in the Capstan Hoist training?	ANSI A10.48 Rigging Guidelines.
What are the three most common lifting devices found in the telecommunications industry?	Gin Poles, Base Mounted Hoists, and Capstan Hoists.
What is a gin pole used for?	A gin pole is a lifting device that allows headroom above the highest fixed point on a structure. They are typically used to raise or lower sections of a tower during construction and demolition operations.
What is a base mounted hoist used for?	A base mounted hoist is used for overhead material lifting and lifting of personnel during construction and maintenance of a communication structure.
What is a capstan hoist used for?	A capstan hoist is a piece of equipment used in conjunction with synthetic rope to lift light materials vertically up a tower.
What are the main features of a capstan hoist (cathead)?	Main tool for lifting materials up and down communication structures, motorized drum winch, rotates in one direction only, uses rope and a block, and a foot pedal controls the on/off function.
What are the three common drive train types for capstan hoists?	Electric (power source depends on model), Hydraulic, and Gasoline.
What are the electric power options for capstan hoists?	12 VDC @ 100A, 115 VAC @ 14A (requires a Heavy-Duty 20Amp C/B and Outlet), and 230 VAC @ 60 Hz 10Amp C/B.
What is the typical load rating of the Chance Series 90 capstan hoist model used at ARI?	The 1,000 lb. load rating, 115VAC powered model.
What gauge extension cord is recommended for the Chance Series 90 115VAC capstan hoist?	Recommended 12-gauge extension cord should be used.
What safety device should be used while operating an electric powered hoist?	A GFCI (Ground Fault Circuit Interrupter) should be used while operating electric powered hoist.
How much does the planetary gear drive of the capstan hoist weigh?	Weighs about 40 lbs.
Will the capstan hoist rotate backwards?	No, it will not rotate backwards.
What is the rope grab feature of the capstan hoist?	The rope grab is spring loaded, but can become broken or damaged frequently.
What are the key features of the foot switch/pedal on the capstan hoist?	Leaves both hands free for operation and is water resistant.
What are the typical lifting capacities for capstan hoists?	Lifting capacity varies - 1000 lbs. and 3000 lbs.
Is the capstan hoist maintenance intensive?	No, it is virtually mechanically maintenance free.
When should you inspect the capstan hoist?	Inspect before each use.
What areas of the capstan hoist require special attention during inspection?	Electrical cable strain relief (tends to get torn away exposing electrical wires), rope grooves can develop on the drum, connection bolts for tightness, mounting hardware, and the locking pin for the swivel plate to ensure it is secure.
Why should the capstan hoist be the only item connected to the electric power source?	Other tools reduce the flow to the capstan which can reduce the pulling power and can burn out the capstan motor.
What is the minimum wattage output power for generators used for remote job sites?	Minimum 4000 watts output power.
What are the three types of anchorages for capstan hoists?	Chain bracket, Receiver hitch, and Swivel base (turntable - be careful of base breaks and pin shearing, can be incorporated with the receiver hitch).
What must anchorage strength have to pull the load?	Must have required strength to pull the load, with a load design factor of 2.0 times, or load tested to 1.5 the gross load.
When using a receiver hitch bracket, what must you ensure?	Ensure that it is designed/manufactured to carry the load and has the safety factor to carry the load.
What safety measures must be taken when using a receiver hitch bracket?	Always engage the emergency brake, set parking brake, and chock wheels of the vehicle.
What is the preferred pulling direction when using a receiver hitch bracket?	Pulling sideways (or 90° to length of vehicle) - less chance of movement. Inline can cause vehicle to roll or slide.
How does the swivel base allow for optimal lifts?	The swivel base allows for optimal lifts by properly aligning the drum with the rigging block.
Where are load ratings for a capstan hoist provided?	Load ratings are provided by the manufacturer and annotated on the ID plate on the hoist.
Where should the load side be positioned on the capstan drum?	Load side shall always be on the inside of drum.
Where should the pull side be positioned on the capstan drum?	Pull side shall always be on the outside of drum.
How many wraps should you start with on the capstan drum?	Start with 3-5 full wraps on the drum.
What mechanical advantage do 4 wraps provide on the capstan drum?	4 wraps = 44:1 mechanical advantage (1 lb. force on pull side for every 44 lbs. of lifting force needed on load side).
What determines the number of wraps needed on the capstan drum?	Number of wraps is dependent on the weight of the load, block/tackle system, and size or age of rope.
What type of rope works best on capstan hoists?	Synthetic fiber ropes work best on capstan hoists.
How must rope be rated for use with capstan hoists?	Must be rated to handle 1.5 times the load.
What are the safe rope diameter ranges for use on capstan drums?	Smallest is 3/8" and largest is 3/4".
Why should natural fiber rope NOT be used on capstan drums?	It shall NOT be used due to degradation from UV rays.
Why should polypropylene rope NOT be used on capstan drums?	It shall NOT be used due to slick nature and low melting point.
What rope types are ideal for use on capstan drums?	Polyester/Nylon - ideal rope to USE on capstan drum (low stretch, flexible). Static Kernmantle is also good for lifting use (low stretch, less flexible than polyester).
What does BS stand for in rope terminology?	BS = Breaking Strength.
What does MBS stand for in rope terminology?	MBS = Minimum Breaking Strength.
What does FS stand for in rope terminology?	FS = Factor of Safety.
What does WLL stand for in rope terminology?	WLL = Working Load Limit.
What is the standard practice for manufacturer and supply specification sheets regarding rope strength?	Always use the value in the minimum strength column.
When should ropes be inspected?	Ropes shall be inspected before each use.
What should be done with ropes that fail inspection?	Ropes that fail inspection should be taken out of service.
How should you align the drum of the capstan hoist with the block?	Align the drum of the Capstan Hoist with the block to prevent overlapping.
What tool should be used to ensure proper drum alignment?	Use the Test-Pick to ensure proper drum alignment.
What is the proper positioning for the truck when using a capstan hoist on a tower?	Truck should be positioned at 90 degrees from the tower.
What should be done with the capstan mount when setting up?	Capstan Mount should be swiveled to proper alignment with the load.
What safety measure must be taken with the vehicle tires?	Tires must be chocked.
What must be ensured about the operator's position?	Operator must be free of obstructions.
What knots are less susceptible to coming untied for attaching to loads?	Figure-8 On-a-Bight, Figure-8 Follow-Through, and Inside Bowline.
How are blocks labeled?	All blocks are labeled with WLL (Working Load Limit).
What should you do if a block label can't be read?	If label can't be read, do not use equipment.
How must blocks be rated in relation to the weight of the load?	Blocks must be rated for twice the weight of the load.
What type of block sheave has an angled slope shoulder?	Wire rope block = angled slope shoulder.
What type of block sheave has a vertical slope shoulder?	Rope block sheave = vertical slope shoulder.
How is sheave diameter relevant to rope?	Diameter is directly relevant to size of rope. Must fit properly in the sheave.
What happens when using a smaller diameter sheave?	Using smaller diameter sheave reduces WLL of rope.
What ratio should be applied when selecting sheaves?	Apply the D/D Ratio (Diameter to Diameter ratio).
What is the purpose of tag lines?	Tag lines are used to keep hoisted loads from contacting structures or power lines.
What is the critical safety rule regarding tag lines and hands/body?	NEVER WRAP ROPES AROUND HANDS OR BODY.
Can structures or vehicles be used as a redirect for tag lines?	Yes, structures or vehicles may be used as a redirect.
What hitch can be used to add friction for more control with tag lines?	A münter hitch can be used to add friction for more control.
What knots are acceptable for tag lines only?	Square Knot, Sheet Bend, Bowline, Clove Hitch, and Two-Half Hitches.
What is a straight tag system?	Load line through a top block and connected to the load.
When is a heel block configuration used?	Used if you need distance between the hoist and the tower due to power lines, trees, guy lines or any other obstructions.
Where is the heel block configuration typically used?	Typically used on guy line towers.
What is a trolley tag system?	More control while keeping the load away from the structure. Through the block but attaching a trolley block to the load.
What are the advantages of a dedicated trolley tag system?	Provides added control to lead line and removes visual obstruction, allows diverse hoist setup options, provides superior load control, tag induces least force onto load, and predictable rigging forces in load line.
